"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2019","28.538,44","28.414,64","28.547,35","28.376,49","193,34M","0,27%"
"30.12.2019","28.462,14","28.654,76","28.664,69","28.428,98","185,07M","-0,64%"
"27.12.2019","28.645,26","28.675,34","28.701,66","28.608,98","184,93M","0,08%"
"26.12.2019","28.621,39","28.539,46","28.624,10","28.535,15","155,97M","0,37%"
"24.12.2019","28.515,45","28.572,57","28.576,80","28.503,21","95,29M","-0,13%"
"23.12.2019","28.551,53","28.491,78","28.582,49","28.491,78","233,47M","0,34%"
"20.12.2019","28.455,09","28.608,64","28.608,64","28.445,60","603,78M","0,28%"
"19.12.2019","28.376,96","28.278,31","28.381,48","28.278,24","262,57M","0,49%"
"18.12.2019","28.239,28","28.291,44","28.323,25","28.239,28","289,89M","-0,10%"
"17.12.2019","28.267,16","28.221,75","28.328,63","28.220,56","286,77M","0,11%"
"16.12.2019","28.235,89","28.191,67","28.337,49","28.191,67","286,77M","0,36%"
"13.12.2019","28.135,38","28.123,64","28.290,73","28.028,32","254,81M","0,01%"
"12.12.2019","28.132,05","27.898,34","28.224,95","27.859,87","277,74M","0,79%"
"11.12.2019","27.911,30","27.867,31","27.925,50","27.801,80","221,70M","0,11%"
"10.12.2019","27.881,72","27.900,65","27.949,02","27.804,00","215,81M","-0,10%"
"09.12.2019","27.909,60","27.987,05","28.010,42","27.906,14","219,07M","-0,38%"
"06.12.2019","28.015,06","27.839,68","28.035,85","27.839,68","224,83M","1,22%"
"05.12.2019","27.677,79","27.736,05","27.745,20","27.562,80","219,99M","0,10%"
"04.12.2019","27.649,78","27.634,63","27.727,45","27.612,08","218,20M","0,53%"
"03.12.2019","27.502,81","27.501,98","27.524,74","27.325,13","275,35M","-1,01%"
"02.12.2019","27.783,04","28.109,74","28.109,84","27.782,35","236,61M","-0,96%"
"29.11.2019","28.051,41","28.103,16","28.119,51","28.042,53","122,62M","-0,40%"
"27.11.2019","28.164,00","28.156,47","28.174,97","28.075,23","198,21M","0,15%"
"26.11.2019","28.121,68","28.080,75","28.146,02","28.042,21","329,80M","0,20%"
"25.11.2019","28.066,47","27.917,77","28.068,69","27.917,77","248,42M","0,68%"
"22.11.2019","27.875,62","27.831,23","27.898,46","27.773,98","218,58M","0,39%"
"21.11.2019","27.766,29","27.820,28","27.828,33","27.708,34","232,02M","-0,20%"
"20.11.2019","27.821,09","27.879,55","27.897,28","27.675,28","260,24M","-0,40%"
"19.11.2019","27.934,02","28.079,76","28.090,21","27.894,52","256,62M","-0,36%"
"18.11.2019","28.036,22","27.993,22","28.040,97","27.969,24","252,32M","0,11%"
"15.11.2019","28.004,89","27.843,54","28.004,89","27.843,54","288,91M","0,80%"
"14.11.2019","27.781,96","27.757,20","27.800,71","27.676,97","303,97M","-0,01%"
"13.11.2019","27.783,59","27.622,04","27.806,40","27.587,20","278,39M","0,33%"
"12.11.2019","27.691,49","27.701,59","27.770,86","27.635,32","213,67M","0,00%"
"11.11.2019","27.691,49","27.580,66","27.714,39","27.517,67","204,62M","0,04%"
"08.11.2019","27.681,24","27.686,20","27.694,95","27.578,97","222,79M","0,02%"
"07.11.2019","27.674,80","27.590,16","27.774,67","27.590,16","263,58M","0,66%"
